jan,apr,aug
23.88,10.69,1.33
25.33,10.36,1.92
24.41,10.99,1.25
25.44,10.51,1.01
25.56,11.05,1.24
24.77,11.12,1.79
25.7,11.64,1.71
26.36,12.45,2.11
25.95,11.74,3
27.83,12.44,3.24
27.19,12.54,2.74
28.69,12.44,3.66
28.14,12.31,3.09
28.3,11.62,3.52
30.15,12.55,3.11
26.89,11.67,3.23
28.26,11.62,3.51
26.93,12.23,3.37
27.72,11.96,2.75
29.02,10.92,3.18
29.66,10.96,3.82
25.74,10.21,3.55
26.92,10,8.01
26.76,9.51,5.77
27.68,8.59,3.47
26.49,8.03,5.32
26.22,8.16,4.78
27.17,8.69,4.66
28.79,8.45,2.88
29.27,8.16,2.46
28.54,8.55,2.62
29.94,8.94,2.96
28.95,8.35,3.96
30.46,8.81,2.7
30.64,8.18,3.74
32.27,8.2,2.63
32.95,8.55,3.19
32.1,8.16,7.28
32.91,7.78,2.63
33.63,8.01,2.39
34.27,8.59,1.71
34.68,8.39,2.32
37.79,8.45,5.02
36.18,8.75,4.62
36.52,8.9,4.14
37.9,9.58,4.09
40.04,9.65,12.5
39.19,9.62,4.48
40.71,9.45,3.56
43.69,9.88,4.24
43.49,9.1,3.8
47.11,8.72,5.12
52.74,9.71,4.64
54.28,9.95,5.59
58.48,9.68,5.35
58.01,9.27,4.81
55.66,9.84,3.59
60.85,9.81,4.19
59.71,10.58,6.2
54.49,9.24,4.59
52.65,9.22,5.63
49.02,10.45,3.79
49.36,10.34,4.01
45.07,10.7,2.98
37.74,10.16,2.92
35.45,10.29,2.7
34.81,10.87,2.74
34.41,10.25,3.28
34.53,10.12,3.28
34.93,11.76,2.75
36,11.16,2.53
35.88,13.02,2.41
37.23,11.8,2.41
37.79,13.51,2.19
34.01,14.66,2.2
36.4,15.14,2.43
32.81,14.05,2.12
31.58,13.67,2.09
29.58,14.16,1.93
26.04,14.53,1.87
25.76,13.11,1.68
25.14,12.88,1.46
25.05,13.43,1.42
24.25,13.29,1.52
25.52,15.14,1.45
24.94,19.46,1.56
25.66,20.62,1.93
24.16,20.54,1.69
23.59,17.63,1.43
27.98,17.22,1.72
25.65,18.02,1.57
26.02,20.2,1.43
23.09,19.56,1.5
23.22,16.26,1.78
23.41,16.2,1.58
20.31,17.57,1.7
23.38,19.01,1.48
21.45,21.17,1.41
26.03,22.12,2.19
22.38,20.7,1.94
22.47,20.97,1.99
22.38,20.1,1.72
24.07,20.85,2.14
23.96,20.6,2.16
23.3,20.4,2.31
21.14,19.62,2.17
22.42,18.1,2.17
19.18,18.78,2.05
22.96,16.72,2.16
21.08,15.45,2.14
19.89,15.41,2.3
21.28,15.49,1.83
23.34,15.12,1.46
20.06,15.16,1.75
22.75,13.85,1.03
25.91,14.32,1.04
22.96,13.74,0.98
23.01,14.38,1.03
23.8,13.91,1.32
22.56,13.49,1.07
23.12,14.01,1.29
27.39,13.27,1.21
23.82,13.61,1.51
20.8,13.05,1.63
25.16,13.48,2.08
20.91,12.87,1.88
19.95,13.04,1.72
23.86,12.57,1.7
24.88,12.86,1.75
25.01,13.82,1.83
28.42,12.08,1.65
